system:time_start,ndvi
"Jan 1, 2015",0.637
"Jan 9, 2015",0.805
"Jan 17, 2015",0.764
"Jan 25, 2015",0.842
"Feb 2, 2015",0.838
"Feb 10, 2015",0.833
"Feb 18, 2015",0.821
"Feb 26, 2015",0.819
"Mar 6, 2015",0.849
"Mar 14, 2015",0.804
"Mar 22, 2015",0.732
"Mar 30, 2015",0.493
"Apr 7, 2015",0.391
"Apr 15, 2015",0.274
"Apr 23, 2015",0.253
"May 1, 2015",0.217
"May 9, 2015",0.187
"May 17, 2015",0.192
"May 25, 2015",0.161
"Jun 2, 2015",0.226
"Jun 10, 2015",0.2
"Jun 18, 2015",0.194
"Jun 26, 2015",0.241
"Jul 4, 2015",0.573
"Jul 12, 2015",0.462
"Jul 20, 2015",0.748
"Jul 28, 2015",0.186
"Aug 5, 2015",0.302
"Aug 13, 2015",0.796
"Aug 21, 2015",0.831
"Aug 29, 2015",0.786
"Sep 6, 2015",0.771
"Sep 14, 2015",0.776
"Sep 22, 2015",0.752
"Sep 30, 2015",0.72
"Oct 8, 2015",0.613
"Oct 16, 2015",0.544
"Oct 24, 2015",0.38
"Nov 1, 2015",0.196
"Nov 9, 2015",0.203
"Nov 17, 2015",0.215
"Nov 25, 2015",0.314
"Dec 3, 2015",0.338
"Dec 11, 2015",0.519
"Dec 19, 2015",0.6
"Dec 27, 2015",0.717
